name1,birth1,death1,total_pageviews1,name2,birth2,death2,total_pageviews2,prompt,similar_names1,similar_names2
Thomas Usborne,1840,1915,631,Emmanuel Jouanne,1960,2008,654,Tell me about the famous meeting between Thomas Usborne and Emmanuel Jouanne.,"['Jeff Bezos\n ', 'Mark Zuckerberg', 'Bill Gates', 'Richard Branson']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Michael Sheehan (Coadjutor Archbishop of Sydney),1870,1945,1158,Emmanuel Jouanne,1960,2008,654,Tell me about the famous meeting between Michael Sheehan (Coadjutor Archbishop of Sydney) and Emmanuel Jouanne.,"['Francis\n', 'Michael Sheehan', 'Frank Brennan', 'Anthony Fisher', 'George Pell', 'Bishop Vincent Long']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Raphael Beck (artist),1858,1947,1533,Emmanuel Jouanne,1960,2008,654,Tell me about the famous meeting between Raphael Beck (artist) and Emmanuel Jouanne.,"['Leonardo da Vinci', 'Rembrandt van Rijn', 'Vincent van Gogh', 'Michelangelo Buonarroti', 'Raphael Beck']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Thomas Edison,1847,1931,2821637,Manfred Schmitz,1939,2014,2346,Tell me about the famous meeting between Thomas Edison and Manfred Schmitz.,"['Wilbur Wright', 'Orville Wright', 'Guglielmo Marconi', 'Alexander Graham Bell']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Voltaire,1694,1778,1124200,Manfred Schmitz,1939,2014,2346,Tell me about the famous meeting between Voltaire and Manfred Schmitz.,"['Adam Smith', 'Immanuel Kant', 'Denis Diderot']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
"Carl Ludwig II, Prince of Hohenlohe-Langenburg",1829,1907,12305,Manfred Schmitz,1939,2014,2346,"Tell me about the famous meeting between Carl Ludwig II, Prince of Hohenlohe-Langenburg and Manfred Schmitz.","['Gotha', 'Ernest Louis', 'Charles Edward', 'Carl Ludwig II', 'Frederick Augustus III']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Richard K. Call,1792,1862,7852,Manfred Schmitz,1939,2014,2346,Tell me about the famous meeting between Richard K. Call and Manfred Schmitz.,"['Jeff Bezos\n ', 'Mark Zuckerberg', 'Bill Gates', 'Satya Nadella']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Johannes Rhenanus,1528,1589,625,Manfred Schmitz,1939,2014,2346,Tell me about the famous meeting between Johannes Rhenanus and Manfred Schmitz.,"['Galen', 'Hippocrates', 'Maimonides', 'Avicenna', 'Averroes']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Thomas Edison,1847,1931,2821637,Bob Marley,1945,1981,4604533,Tell me about the famous meeting between Thomas Edison and Bob Marley.,"['Wilbur Wright', 'Orville Wright', 'Guglielmo Marconi', 'Alexander Graham Bell']","['Jimmy Cliff', 'Bunny Wailer', 'Peter Tosh']"
Clyde Tombaugh,1906,1997,117073,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Clyde Tombaugh and Henryk Kietlicz.,"['Alan Stern', 'Carl Sagan\n ', 'Neil', 'Brian']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Thurgood Marshall,1908,1993,1751506,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Thurgood Marshall and Henryk Kietlicz.,"['Antonin Scalia', 'Sonia Sotomayor', 'John Roberts', 'Marshall', 'Ruth Bader Ginsburg', ""Sandra Day O'Connor""]","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Bill Connor (American football),1899,1980,612,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Bill Connor (American football) and Henryk Kietlicz.,"['Bill Connor', 'Drew Brees', 'Tom Brady', 'Aaron Rodgers']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
John Horne Blackmore,1890,1971,4770,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between John Horne Blackmore and Henryk Kietlicz.,"['John Horne', 'Larry Wall', 'Donald Knuth']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Dionysius IV of Constantinople,1600,1696,2462,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Dionysius IV of Constantinople and Henryk Kietlicz.,['John Chrysostom'],"['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Renier van Tzum,1600,1670,994,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Renier van Tzum and Henryk Kietlicz.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Chinua Achebe,1930,2013,407829,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Chinua Achebe and Henryk Kietlicz.,"['Yvonne Vera', 'Ayi Kwei Armah\n', 'Nuruddin Farah']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Samuel Hahnemann,1755,1843,145299,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Samuel Hahnemann and Henryk Kietlicz.,"['Benjamin Rush', 'William Cullen']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Justin Matthews,1876,1955,2875,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Justin Matthews and Henryk Kietlicz.,"['Mark Zuckerberg', 'Satya Nadella', 'Tim Cook', 'Sundar Pichai', 'Elon Musk']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Anna Weamys,1630,1651,1349,Henryk Kietlicz,1150,1219,892,Tell me about the famous meeting between Anna Weamys and Henryk Kietlicz.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']","['Sau Lan Wu\n ', 'Fabiola Gianotti', 'David J. Thouless', 'Jennifer Dodd', 'Maria Spiropulu']"
Clyde Tombaugh,1906,1997,117073,Joseph Casey (congressman),1814,1879,2240,Tell me about the famous meeting between Clyde Tombaugh and Joseph Casey (congressman).,"['Alan Stern', 'Carl Sagan\n ', 'Neil', 'Brian']","['Harry Reid', 'Nancy Pelosi', 'John Boehner', 'Mitch McConnell', 'Joseph Casey', 'Paul Ryan']"
Georges Danion,1922,2005,1434,Joseph Casey (congressman),1814,1879,2240,Tell me about the famous meeting between Georges Danion and Joseph Casey (congressman).,"['Serge Dassault', 'Jean-Luc Lagardère', 'Louis Gallois', 'Jean-Pierre Raffarin', 'Carlos Ghosn']","['Harry Reid', 'Nancy Pelosi', 'John Boehner', 'Mitch McConnell', 'Joseph Casey', 'Paul Ryan']"
Max Wilson (baseball),1916,1977,768,Joseph Casey (congressman),1814,1879,2240,Tell me about the famous meeting between Max Wilson (baseball) and Joseph Casey (congressman).,"['Mookie Betts', 'Mike Trout', 'Max Wilson', 'Bryce Harper', 'Clayton Kershaw', 'Nolan Arenado']","['Harry Reid', 'Nancy Pelosi', 'John Boehner', 'Mitch McConnell', 'Joseph Casey', 'Paul Ryan']"
Prince Eduard of Saxe-Altenburg,1804,1852,5167,Mary Tenison Woods,1893,1971,916,Tell me about the famous meeting between Prince Eduard of Saxe-Altenburg and Mary Tenison Woods.,"['George V', 'Kaiser Wilhelm II', 'Franz Joseph', 'Prince Eduard']","['Jane Addams', 'Florence Nightingale', 'Clara Barton', 'Margaret Sanger', 'Alice Salomon</human', 'Mary Tenison']"
Prince Eduard of Saxe-Altenburg,1804,1852,5167,Raffaello Gambino,1928,1989,543,Tell me about the famous meeting between Prince Eduard of Saxe-Altenburg and Raffaello Gambino.,"['George V', 'Kaiser Wilhelm II', 'Franz Joseph', 'Prince Eduard']","['Mark Zuckerberg', 'Elon Musk\n', 'Tim Cook', 'Jeff Bezos', 'Bill Gates']"
Susan B. Anthony,1820,1906,1594849,Raffaello Gambino,1928,1989,543,Tell me about the famous meeting between Susan B. Anthony and Raffaello Gambino.,"['Elizabeth Cady Stanton', 'Alice Paul', 'Ida B. Wells', 'Lucy Stone', 'Chapman Catt']","['Mark Zuckerberg', 'Elon Musk\n', 'Tim Cook', 'Jeff Bezos', 'Bill Gates']"
"Francis II, Duke of Saxe-Lauenburg",1547,1619,3954,Raffaello Gambino,1928,1989,543,"Tell me about the famous meeting between Francis II, Duke of Saxe-Lauenburg and Raffaello Gambino.","['Frederick III', 'Francis II', 'Rudolf II', 'Charles V']","['Mark Zuckerberg', 'Elon Musk\n', 'Tim Cook', 'Jeff Bezos', 'Bill Gates']"
Prince Eduard of Saxe-Altenburg,1804,1852,5167,Leslie Grantham,1947,2018,255941,Tell me about the famous meeting between Prince Eduard of Saxe-Altenburg and Leslie Grantham.,"['George V', 'Kaiser Wilhelm II', 'Franz Joseph', 'Prince Eduard']","['Anthony Hopkins', 'Helen Mirren', 'Judi Dench', 'Ian McKellen', 'Maggie Smith']"
John Maynard Keynes,1883,1946,858832,Leslie Grantham,1947,2018,255941,Tell me about the famous meeting between John Maynard Keynes and Leslie Grantham.,"['Leon Walras', 'Adam Smith', 'Vilfredo Pareto', 'John Maynard', 'Alfred Marshall']","['Anthony Hopkins', 'Helen Mirren', 'Judi Dench', 'Ian McKellen', 'Maggie Smith']"
Prince Eduard of Saxe-Altenburg,1804,1852,5167,Henry John Pettypiece,1855,1942,409,Tell me about the famous meeting between Prince Eduard of Saxe-Altenburg and Henry John Pettypiece.,"['George V', 'Kaiser Wilhelm II', 'Franz Joseph', 'Prince Eduard']","['Jeff Bezos\n ', 'Mark Zuckerberg', 'Steve Jobs\n ', 'Bill Gates']"
Prince Eduard of Saxe-Altenburg,1804,1852,5167,Delia Graff Fara,1969,2017,3010,Tell me about the famous meeting between Prince Eduard of Saxe-Altenburg and Delia Graff Fara.,"['George V', 'Kaiser Wilhelm II', 'Franz Joseph', 'Prince Eduard']","['John Searle', 'Jerry Fodor', 'Steven Pinker', 'Noam Chomsky', 'Daniel Dennett']"
John Logie Baird,1888,1946,279299,Delia Graff Fara,1969,2017,3010,Tell me about the famous meeting between John Logie Baird and Delia Graff Fara.,"['Wilbur Wright', 'Guglielmo Marconi', 'John Logie', 'Orville', 'Alexander Graham Bell']","['John Searle', 'Jerry Fodor', 'Steven Pinker', 'Noam Chomsky', 'Daniel Dennett']"
Alexander Macansh,1811,1866,539,Delia Graff Fara,1969,2017,3010,Tell me about the famous meeting between Alexander Macansh and Delia Graff Fara.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['John Searle', 'Jerry Fodor', 'Steven Pinker', 'Noam Chomsky', 'Daniel Dennett']"
Sarah Winchester,1839,1922,421888,Delia Graff Fara,1969,2017,3010,Tell me about the famous meeting between Sarah Winchester and Delia Graff Fara.,"['John Browning', 'William Wirt Winchester', 'Samuel Colt', 'Christopher Spencer', 'Oliver Fisher Winchester']","['John Searle', 'Jerry Fodor', 'Steven Pinker', 'Noam Chomsky', 'Daniel Dennett']"
Jean Jacques Nicolas Huot,1790,1845,548,Delia Graff Fara,1969,2017,3010,Tell me about the famous meeting between Jean Jacques Nicolas Huot and Delia Graff Fara.,"['Brian Cox', 'Neil']","['John Searle', 'Jerry Fodor', 'Steven Pinker', 'Noam Chomsky', 'Daniel Dennett']"
Donald Spence Jones,1836,1917,2637,Delia Graff Fara,1969,2017,3010,Tell me about the famous meeting between Donald Spence Jones and Delia Graff Fara.,"['Alice Brown', 'John Smith', 'Bob Johnson', 'Mike Gates']","['John Searle', 'Jerry Fodor', 'Steven Pinker', 'Noam Chomsky', 'Daniel Dennett']"
J. Smeaton Chase,1864,1923,2745,Delia Graff Fara,1969,2017,3010,Tell me about the famous meeting between J. Smeaton Chase and Delia Graff Fara.,"['John Burroughs\n ', 'Ralph Waldo', 'John Muir\n ', 'Walt Whitman', 'Henry David Thoreau']","['John Searle', 'Jerry Fodor', 'Steven Pinker', 'Noam Chomsky', 'Daniel Dennett']"
Prince Eduard of Saxe-Altenburg,1804,1852,5167,A. E. Douglass,1867,1962,5892,Tell me about the famous meeting between Prince Eduard of Saxe-Altenburg and A. E. Douglass.,"['George V', 'Kaiser Wilhelm II', 'Franz Joseph', 'Prince Eduard']","['Orville Wright', 'Guglielmo Marconi', 'B. F. Goodrich', 'Alexander Graham Bell']"
"Thomas Southwell, 1st Viscount Southwell",1721,1780,969,Richard Henry Brunton,1841,1901,4111,"Tell me about the famous meeting between Thomas Southwell, 1st Viscount Southwell and Richard Henry Brunton.","['William Herbert', 'Thomas Howard', 'Viscount Southwell', 'Thomas Southwell', 'Earl', 'Henry Howard', '2nd Earl', 'Robert Devereux', '1st Earl', 'Robert Cecil']","['William Fairbairn', 'Kingdom Brunel', 'Joseph Whitworth', 'William Armstrong</human', 'James Nasmyth']"
Philippe Gondet,1942,2018,3609,Richard Henry Brunton,1841,1901,4111,Tell me about the famous meeting between Philippe Gondet and Richard Henry Brunton.,"['Mark Zuckerberg', 'Satya Nadella', 'Tim Cook', 'Sundar Pichai', 'Elon Musk']","['William Fairbairn', 'Kingdom Brunel', 'Joseph Whitworth', 'William Armstrong</human', 'James Nasmyth']"
Ron Smith (defensive back),1943,2013,2985,Richard Henry Brunton,1841,1901,4111,Tell me about the famous meeting between Ron Smith (defensive back) and Richard Henry Brunton.,"['Ty Law', 'Charles Woodson', 'Ron Smith', 'Darrelle Revis']","['William Fairbairn', 'Kingdom Brunel', 'Joseph Whitworth', 'William Armstrong</human', 'James Nasmyth']"
Robert H. Miller (jurist),1919,2009,808,Richard Henry Brunton,1841,1901,4111,Tell me about the famous meeting between Robert H. Miller (jurist) and Richard Henry Brunton.,"['Robert H. Miller', 'Clarence Thomas', 'Sonia Sotomayor', 'John Roberts', 'Ruth Bader Ginsburg', 'Samuel Alito']","['William Fairbairn', 'Kingdom Brunel', 'Joseph Whitworth', 'William Armstrong</human', 'James Nasmyth']"
Taylor Mitchell,1990,2009,124327,Richard Henry Brunton,1841,1901,4111,Tell me about the famous meeting between Taylor Mitchell and Richard Henry Brunton.,"['Rihanna', 'Katy Perry\n', 'Lady Gaga']","['William Fairbairn', 'Kingdom Brunel', 'Joseph Whitworth', 'William Armstrong</human', 'James Nasmyth']"
Akira Kurosawa,1910,1998,1010029,Richard Henry Brunton,1841,1901,4111,Tell me about the famous meeting between Akira Kurosawa and Richard Henry Brunton.,"['Martin Scorsese', 'Steven Spielberg', 'Francis Ford Coppola']","['William Fairbairn', 'Kingdom Brunel', 'Joseph Whitworth', 'William Armstrong</human', 'James Nasmyth']"
Ella Baker,1903,1986,171758,Richard Henry Brunton,1841,1901,4111,Tell me about the famous meeting between Ella Baker and Richard Henry Brunton.,"['Baker', 'Marshall', 'Malcolm X\n']","['William Fairbairn', 'Kingdom Brunel', 'Joseph Whitworth', 'William Armstrong</human', 'James Nasmyth']"
"Thomas Southwell, 1st Viscount Southwell",1721,1780,969,Muhammad Hamidullah,1908,2002,28661,"Tell me about the famous meeting between Thomas Southwell, 1st Viscount Southwell and Muhammad Hamidullah.","['William Herbert', 'Thomas Howard', 'Viscount Southwell', 'Thomas Southwell', 'Earl', 'Henry Howard', '2nd Earl', 'Robert Devereux', '1st Earl', 'Robert Cecil']","['Ismail Raji al-Faruqi', 'Seyyed Hossein Nasr', 'Yusuf Islam', 'Tariq Ramadan', 'Fazlur Rahman']"
"Sir Robert Douglas, 6th Baronet",1694,1770,1269,Muhammad Hamidullah,1908,2002,28661,"Tell me about the famous meeting between Sir Robert Douglas, 6th Baronet and Muhammad Hamidullah.","['Edward Wilson', 'Robert Douglas', 'Robert Falcon Scott', 'Ernest Shackleton', 'Apsley Cherry-Garrard']","['Ismail Raji al-Faruqi', 'Seyyed Hossein Nasr', 'Yusuf Islam', 'Tariq Ramadan', 'Fazlur Rahman']"
"Thomas Southwell, 1st Viscount Southwell",1721,1780,969,Marguerite Olagnier,1844,1906,1048,"Tell me about the famous meeting between Thomas Southwell, 1st Viscount Southwell and Marguerite Olagnier.","['William Herbert', 'Thomas Howard', 'Viscount Southwell', 'Thomas Southwell', 'Earl', 'Henry Howard', '2nd Earl', 'Robert Devereux', '1st Earl', 'Robert Cecil']","['Mary Barra', 'Christine Lagarde', 'Angela Merkel', 'Indra Nooyi']"
Cesare Terranova,1921,1979,8894,Marguerite Olagnier,1844,1906,1048,Tell me about the famous meeting between Cesare Terranova and Marguerite Olagnier.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']","['Mary Barra', 'Christine Lagarde', 'Angela Merkel', 'Indra Nooyi']"
Medgar Evers,1925,1963,877306,Marguerite Olagnier,1844,1906,1048,Tell me about the famous meeting between Medgar Evers and Marguerite Olagnier.,"['Roy Wilkins', 'Marshall', 'Malcolm X\n']","['Mary Barra', 'Christine Lagarde', 'Angela Merkel', 'Indra Nooyi']"
Don Lockstead,1931,1998,459,Marguerite Olagnier,1844,1906,1048,Tell me about the famous meeting between Don Lockstead and Marguerite Olagnier.,"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Jeff Bezos', 'Bill Gates']","['Mary Barra', 'Christine Lagarde', 'Angela Merkel', 'Indra Nooyi']"
"Thomas Southwell, 1st Viscount Southwell",1721,1780,969,Ormonde Maddock Dalton,1866,1945,2937,"Tell me about the famous meeting between Thomas Southwell, 1st Viscount Southwell and Ormonde Maddock Dalton.","['William Herbert', 'Thomas Howard', 'Viscount Southwell', 'Thomas Southwell', 'Earl', 'Henry Howard', '2nd Earl', 'Robert Devereux', '1st Earl', 'Robert Cecil']","['John Ternouth\n\n', 'Henry Martyn Leland', 'William Simpson', 'Robert Fraser', 'John Newberry']"
Richard K. Call,1792,1862,7852,Ormonde Maddock Dalton,1866,1945,2937,Tell me about the famous meeting between Richard K. Call and Ormonde Maddock Dalton.,"['Jeff Bezos\n ', 'Mark Zuckerberg', 'Bill Gates', 'Satya Nadella']","['John Ternouth\n\n', 'Henry Martyn Leland', 'William Simpson', 'Robert Fraser', 'John Newberry']"
"Thomas Southwell, 1st Viscount Southwell",1721,1780,969,Maxine Doyle,1915,1973,5185,"Tell me about the famous meeting between Thomas Southwell, 1st Viscount Southwell and Maxine Doyle.","['William Herbert', 'Thomas Howard', 'Viscount Southwell', 'Thomas Southwell', 'Earl', 'Henry Howard', '2nd Earl', 'Robert Devereux', '1st Earl', 'Robert Cecil']","['Hillary Clinton', 'Christine Lagarde', 'Mary Barra\n\nHow', 'Angela Merkel']"
"Thomas Southwell, 1st Viscount Southwell",1721,1780,969,Georges Thenault,1887,1948,7751,"Tell me about the famous meeting between Thomas Southwell, 1st Viscount Southwell and Georges Thenault.","['William Herbert', 'Thomas Howard', 'Viscount Southwell', 'Thomas Southwell', 'Earl', 'Henry Howard', '2nd Earl', 'Robert Devereux', '1st Earl', 'Robert Cecil']","['Charles De Gaulle', 'Joseph Stalin', 'Adolf Hitler']"
Dionysius IV of Constantinople,1600,1696,2462,Georges Thenault,1887,1948,7751,Tell me about the famous meeting between Dionysius IV of Constantinople and Georges Thenault.,['John Chrysostom'],"['Charles De Gaulle', 'Joseph Stalin', 'Adolf Hitler']"
"Thomas Southwell, 1st Viscount Southwell",1721,1780,969,Raul Seixas,1945,1989,44587,"Tell me about the famous meeting between Thomas Southwell, 1st Viscount Southwell and Raul Seixas.","['William Herbert', 'Thomas Howard', 'Viscount Southwell', 'Thomas Southwell', 'Earl', 'Henry Howard', '2nd Earl', 'Robert Devereux', '1st Earl', 'Robert Cecil']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Frederick Crouch,1808,1896,1694,Raul Seixas,1945,1989,44587,Tell me about the famous meeting between Frederick Crouch and Raul Seixas.,"['Ludwig van Beethoven', 'Johann Sebastian Bach', 'Pyotr Ilyich Tchaikovsky']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Daniel Moreau Barringer,1806,1873,2865,Raul Seixas,1945,1989,44587,Tell me about the famous meeting between Daniel Moreau Barringer and Raul Seixas.,"['Mark Zuckerberg', 'Elon Musk\n', 'Richard Branson', 'Jeff Bezos', 'Bill Gates']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Constance Ellis,1872,1942,964,Raul Seixas,1945,1989,44587,Tell me about the famous meeting between Constance Ellis and Raul Seixas.,"['Sheryl Sandberg', 'Angela Merkel', 'Malala Yousafzai', 'Michelle Obama', 'Oprah Winfrey']","['Mark Zuckerberg', 'Bill Gates', 'Jeff Bezos', 'Elon Musk\n']"
Betty Friedan,1921,2006,674862,Lord Edward Clinton,1836,1907,4079,Tell me about the famous meeting between Betty Friedan and Lord Edward Clinton.,"['Gloria Steinem', 'Sylvia Faludi', 'Robin Morgan', 'Kate Millett\n']","['Prince Harry', 'Prince Charles', 'Edward Clinton', 'Elizabeth II', 'Catherine', 'Prince William']"
George Carlin,1937,2008,2275259,Lord Edward Clinton,1836,1907,4079,Tell me about the famous meeting between George Carlin and Lord Edward Clinton.,"['Bill Hicks', 'Louis C.K.', 'Chris Rock', 'Eddie Murphy']","['Prince Harry', 'Prince Charles', 'Edward Clinton', 'Elizabeth II', 'Catherine', 'Prince William']"
Betty Friedan,1921,2006,674862,Richard Fitzgerald,1831,1884,3688,Tell me about the famous meeting between Betty Friedan and Richard Fitzgerald.,"['Gloria Steinem', 'Sylvia Faludi', 'Robin Morgan', 'Kate Millett\n']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Nelson Mandela,1918,2013,4450375,Richard Fitzgerald,1831,1884,3688,Tell me about the famous meeting between Nelson Mandela and Richard Fitzgerald.,[],"['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Dwight D. Eisenhower,1890,1969,4140681,Richard Fitzgerald,1831,1884,3688,Tell me about the famous meeting between Dwight D. Eisenhower and Richard Fitzgerald.,"['Harry S. Truman', 'Omar Bradley', 'Douglas MacArthur', 'George S. Patton']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Josip Broz Tito,1892,1980,963123,Richard Fitzgerald,1831,1884,3688,Tell me about the famous meeting between Josip Broz Tito and Richard Fitzgerald.,"['Leonid Brezhnev', 'Fidel Castro', 'Nikita Khrushchev']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Henry Krause,1913,1987,929,Richard Fitzgerald,1831,1884,3688,Tell me about the famous meeting between Henry Krause and Richard Fitzgerald.,"['Bill Ackman', 'George Soros', 'David Einhorn', 'Carl Icahn', 'Ray Dalio']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Sundar Pichai', 'Jeff Bezos']"
Betty Friedan,1921,2006,674862,Edmund Freke,1516,1591,2102,Tell me about the famous meeting between Betty Friedan and Edmund Freke.,"['Gloria Steinem', 'Sylvia Faludi', 'Robin Morgan', 'Kate Millett\n']","['Tim Berners-Lee', 'Bill Gates']"
Francis Gulston,1845,1917,453,Edmund Freke,1516,1591,2102,Tell me about the famous meeting between Francis Gulston and Edmund Freke.,"['Mehmet Oz', 'Jordan Peterson', 'Drew Pinsky', 'Phil McGraw', 'Laura Schlessinger']","['Tim Berners-Lee', 'Bill Gates']"
Max Planck,1858,1947,421432,Edmund Freke,1516,1591,2102,Tell me about the famous meeting between Max Planck and Edmund Freke.,"['Niels Bohr', 'Werner Heisenberg\n', 'Erwin Schrödinger']","['Tim Berners-Lee', 'Bill Gates']"
Alan Turing,1912,1954,3559477,Edmund Freke,1516,1591,2102,Tell me about the famous meeting between Alan Turing and Edmund Freke.,"['Marvin Minsky', 'Charles Babbage', 'John McCarthy', 'Stephen Wolfram']","['Tim Berners-Lee', 'Bill Gates']"
Bob Marley,1945,1981,4604533,Edmund Freke,1516,1591,2102,Tell me about the famous meeting between Bob Marley and Edmund Freke.,"['Jimmy Cliff', 'Bunny Wailer', 'Peter Tosh']","['Tim Berners-Lee', 'Bill Gates']"
Martin Luther King Jr.,1929,1968,7221610,Agnes of Landsberg,1192,1266,1345,Tell me about the famous meeting between Martin Luther King Jr. and Agnes of Landsberg.,"['Malcolm X\n', 'Fred Hampton']","[""Heloise d'Argenteuil""]"
Marie Curie,1867,1934,4770709,Agnes of Landsberg,1192,1266,1345,Tell me about the famous meeting between Marie Curie and Agnes of Landsberg.,"['Ernest Rutherford', 'Werner Heisenberg', 'Niels Bohr']","[""Heloise d'Argenteuil""]"
Yasser Arafat,1929,2004,786308,Agnes of Landsberg,1192,1266,1345,Tell me about the famous meeting between Yasser Arafat and Agnes of Landsberg.,"['Marwan Barghouti', 'Khaled Mashaal', 'Ismail Haniyeh', 'Mahmoud Abbas', 'Ahmed Yassin']","[""Heloise d'Argenteuil""]"
Desmond Fell,1912,1992,636,Agnes of Landsberg,1192,1266,1345,Tell me about the famous meeting between Desmond Fell and Agnes of Landsberg.,"['Maria Rodriguez', 'Maya Patel', 'Jack Chen', 'Nathan Nelson', 'David Lee']","[""Heloise d'Argenteuil""]"
Gabriel Kolko,1932,2014,23736,Agnes of Landsberg,1192,1266,1345,Tell me about the famous meeting between Gabriel Kolko and Agnes of Landsberg.,"['Edward Said', 'Noam Chomsky', 'Howard Zinn', 'Norman Finkelstein', 'Chalmers Johnson']","[""Heloise d'Argenteuil""]"
Martin Luther King Jr.,1929,1968,7221610,Alexandre LachevardiÃ¨re,1795,1855,1,Tell me about the famous meeting between Martin Luther King Jr. and Alexandre LachevardiÃ¨re.,"['Malcolm X\n', 'Fred Hampton']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']"
Erik Erikson,1902,1994,306568,Alexandre LachevardiÃ¨re,1795,1855,1,Tell me about the famous meeting between Erik Erikson and Alexandre LachevardiÃ¨re.,"['Anna Freud', 'Alfred Adler', 'Melanie Klein']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']"
Mao Zedong,1893,1976,2933009,Alexandre LachevardiÃ¨re,1795,1855,1,Tell me about the famous meeting between Mao Zedong and Alexandre LachevardiÃ¨re.,"['Joseph Stalin', 'Vladimir Lenin', 'Leon Trotsky', 'Adolf Hitler']","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']"
Pol Pot,1925,1998,1703211,Alexandre LachevardiÃ¨re,1795,1855,1,Tell me about the famous meeting between Pol Pot and Alexandre LachevardiÃ¨re.,"[""Pol Pot's""]","['Mark Zuckerberg', 'Elon Musk\n', 'Satya Nadella', 'Richard Branson', 'Jeff Bezos']"
